id, name, address,rating,review_count
312702,Luxury Night Hotel,"Al Munsiyah, Riyadh, 13246, Riyadh Province, Arabia Saudita",4.2,783
312703,Tooq Suites,"Rajia, Al Munsiyah, Riyadh 13246, Saudi Arabia",3.9,358
312704,Summerland Suites,"North Ring Road - Al Monesiya, Near Exit 8، Al Munsiyah, Riyadh 13246, Saudi Arabia",3.1,61
312705,Centro Waha,"Olaya Street, Al- Murooj District, P.O. Box 103617, Riyadh, Saudi Arabia",4.2,5335
312706,Sama Al Qaser Hotel Apartments,"Prince Turky Bin Abdulaziz, 31311, Riyadh, Saudi Arabia",3.4,779
312707,Motiara Hotel,"Tamir Street, Al Murouj District, 11375, Riad, Saudi Arabia",4.4,3610
312708,Courtyard by Marriott Riyadh Northern Ring Road,"Olaya Street, Al Murooj District, Northern Ring Road, PO Box 4050, Riyadh, 11491, Saudi Arabia",4.3,1377
312709,Hospitality Path Serviced Apartments,"Urweh Bin Werd Street, Al Muruj District, 12634 Riyadh, Saudi Arabia",3.7,258
312710,Aknan Al Morooj Furnished Units,"Prince Abdul Mohsin Bin Jalawi Street, 12284, Riyadh, Saudi Arabia",4,716
312711,DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,"Northern Ring Rd, Al Wadi Ar Riyadh, Riyadh, 11552, Saudi Arabia",4.1,6342
312712,Merfal Hotel Apartments Al Murooj,"Al Muruj, Riyadh 12282, Saudi Arabia",3.4,367
312713,Boudl Al-Morouj,"Al Muruj, Riyadh 12284, Saudi Arabia",3.7,381
312714,Revan Palace,"Cross Shekh Jaber Street with Prince Bander Street , behind Al Riyadh Bank، Ashaikh Jaber Alahmed Alsabah, An Nahdah, تقاطع طريق الشيخ الجابر الصباح مع شارع الأمير بندر بن عبدالعزيز - خلف بنك الرياض، Riyadh 13222, Saudi Arabia",4.1,711
312715, Marriott Riyadh Diplomatic Quarter,"6781 Abdullah AlSahmi Street, Diplomatic Quarter, Riyadh, 12511, Saudi Arabia",4.5,2328
312716,"Radisson Blu Hotel & Residence, Riyadh Diplomatic Quarter","Umro Adhamry Street, As Safarat 7826, 12512, Riyadh, Saudi Arabia",4.7,2258
312717,Riyadh Diplomatic Quarter - Marriott Executive Apartments,"6781 Abdullah AlSahmi Street, Diplomatic Quarter  Riyadh, 12511 Saudi Arabia",4.5,2328
312719,OYO 126 Dome Suites Al Mursalat,"Street # 2 and 3, Wasel Post Section 4, 12245, Riyadh, Saudi Arabia",3.3,436
312720,AlMuteb Suites Al mursalat,Abdulaziz Aba Hussain  Al Mursalat Riyadh 11564 Saudi Arabia Abdulaziz Aba Hussain  Al Mursalat Riyadh 11564 Sa  Riyadh  Saudi Arabia,3.8,375
312721,Mandarin Hotel Apartments,"طريق الامام سعود بن عبد العزيز , حى المرسلات، Al Imam Saud Ibn Abdul Aziz Branch Rd, Al Mursilat, Riyadh 12463, Saudi Arabia",4.4,537
312730,Noor Amal Hotel Apartments As Sulay,"11679 Abu Ubaydah Amir Ibn al Jarrah, As Sulay, Riyadh 14267 11679, Arabia Saudita",3.8,413
312731,Corp Inn Deira.,"7272 Al Batha, Ad Dirah, Riyadh 12633, Saudi Arabia",3.6,395
312732,Four Points by Sheraton Riyadh Khaldia,"Imam Faisal Bin Turki Street, PO Box 817, Riyadh, 11421, Saudi Arabia",4.1,5818
312733,OYO 268 Durrat Alamaken Furnished Apartments,"Umar Ibn Abdul Aziz Road, Jarir District, 11312, Riyadh, Saudi Arabia ",4.2,148
1165561,Rayhana oasis,"Zaid Ibn Thabit, Az Zahra, 12811, Riyadh, Saudi Arabia",4.8,1324
1165562,Al Eairy Apartments - Al Riyad 4,"Al Aziziyah, 52261 Riyadh, Saudi Arabia, Riyadh City , Riyadh , Saudi Arabia",2.2,47
1165563,Al Amoria Apartments,"Ulaishah District, Alimam Abdulaziz Ibn muhammed Ibn Saud Street، Ulaishah, Riyadh 12742 12746, Saudi Arabia",3.5,239
1165564,Vivienda Hotel Villas Turki Al Awal,"Al Maather area, Prince Turki Al Awal street, intersection with Prince Mohammad Street, Riyadh, Ksa",4.2,620
1165565,"Dormira Hotel	","2317, 42 Street, As Sahafa District, 13515, Riyadh City , Riyadh , Saudi Arabia	",4.4,3610
1165566,Novotel Riyadh Sahafa,"13321 Olaya Street, As Sahafa District Riyadh, 0, Arabia Saudita ",4.8,1114
1236562,Rio Hotel Olaya," شارع 40 من شارع العليا , Al Olaya, 12212 Riad, Arabia Saudí ",4,418
1236563,Ashaad Al-Tahliah Hotel and Suites,"Riyadah , Olaya Area , Olaya Street، الرياض Saudi Arabia",3.1,387
1236565,topaz suites,"6595 Al Methneb Street, 13314, Riyadh, Saudi Arabia",4.4,3607
1625121,Tulip Inn Modon Riyadh Hotel,"New Industrial Area - Street 201 Building No.0020, 11491, Riad, Saudi Arabia",4,107
1625122,AlMuhaidb For Hotel Apartments 24,"Al Suwide District, Exit 24, 11522, Riyadh, Saudi Arabia",4,326
1625123,AlMuhaidb AlMalaz - AlJamiah,"Al Jamiah Street, Al Malaz, Al Malaz, 11461 Riyadh, Saudi Arabia",3.4,714
