id,name,address,rating,review_count
29921,OYO 209 Mayar International Furnished Unit 2,"3860 Al Amir Muhammad Ibn Abdul Aziz Branch, 23453, Jeddah, Saudi Arabia",3.1,19
29922,OYO 246 Hotel Hadeel Al Motamayezah,"hadeel, Al Naseem St, An Nasim District, Jeddah, 23233, Jeddah, Saudi Arabia ",2.8,47
29923,OYO 274 Al Tamayoz Al Raqi 1,"Al Macrona Street , Al Azizyah District, 21422, Jeddah, Saudi Arabia ",2.0,1
29924,Capital O 296 Jeddah Oasis Hotel,"jeddahoasis, As Sabil District, Jeddah, 22431, Jeddah, Saudi Arabia ",3.7,3
29925,OYO 278 Taj Saba Furnished Units,"Taj Shaba, Dar Al Batkar, Ath Thaghr District, Jeddah, Arabia Saudí ",3.8,205
29926,Salsabil By Warwick Corniche,"Al Ruwais District, Al Jazirah Street, 22231 Yeda, Jeddah, Saudi Arabia",4.2,3597
29927,Diwan Residence Hotel- Alsalamah,"Nahdet Al Sharq, Al Salama District, Al Salamah, 53120, Yeda, Jedda, Arabia Saudí",4.0,953
29928,Diwan Residence Hotel- ِAlnaeem,"Al Naeem Street, Al Naem DIstrict, 53120, Yeda, Jeddah, Arabia Saudí ",4.0,953
29929,OYO 318 Azure Plaza Furnished Units,"Azur, Prince Mutaib bin Abdulaziz Rd, Al Marwah District, Jeddah, Saudi Arabia",4.0,2
29930,OYO 321 Rafahiat Jeddah 2,"Rafahiat, King Fahad Road, An Nuzhah, Jeddah, Saudi Arabia",2.1,8
29931,OYO 334 Taraf Jeddah Hotel,"Taraf Jeddah Hotel, 8030 Suwayd Ibn An Numan, As Safa District, Jeddah, 23454 3540, Jeddah, Saudi Arabia",3.3,4
29932,Capital O 596 Garden Palace Hotel,"7586 Ismail Ibn Kathir, Al Basateen, Jeddah 23717, Saudi Arabia, Jeddah , Makkah province , Saudi Arabia",3.7,745
29933,Vivid Hotel,"Hussain Basalamah, Al Hamra, 23212, Yeda, Arabia Saudí ",4.0,1013
29934,Taj Jeddah Hotel Apartment,"Al Hamra District, Tabuk Street, Facing the Saudi Flag Roundabout",4.5,924
29935,OYO 341 Sorooh Taibah Furnished Apartments,"Soorah Taibah, Abdulrahman Ghannam Street, Al-Bawadi District, Jeddah, Saudi Arabia",0.0,0
29936,Kanz Residence,"Prince Sultan Road, Al Salamah, 23425 Jeddah, Saudi Arabia",5.0,1
29937,Prestige Suite Hotel,"3534 Hira'a Street Prestige Suite, 23523, Jeddah, Saudi Arabia ",4.2,492
29938,Dyar Al Hamra Hotel,"Al Mansurah 2703, Al Hamra, Jeddah, 23212, Saudi Arabia",3.9,2456
29939,La Fontaine Nobel Suites,"Abdul Quddus Al Ansari As Sulaymaniyah District, 21589 Jeddah, Saudi Arabia",3.8,211
29940,Lafontaine Diora Hotel,"2595 Muhyi Ad Din An Nadhir, Al Hamra, 23212 Jeddah, Saudi Arabia ",3.8,736
29941,Ramada by Wyndham Continental Jeddah,"Palestine Street Corner Madinah Road, Jeddah, 21472, Saudi Arabia",4.0,4245
29942,OYO 350 Dar Almadinah,"Hiraa Street, Al Nahda District, 23523, Jeddah, Saudi Arabia ",3.2,75
29943,OYO 368 Al Hamra Palace Group Andalus,"Al-Ruwais, Jeddah, 23211, Jeddah, Saudi Arabia",3.9,30
29944,Sansa Hotel,"As Salama District, Mohammed Abd Redah , Al Salamah, 21415, Jeddah, Saudi Arabia",4.0,432
29945,OYO 317 Dheyouf Al Wattan For Furnished Suites,"Dheyouf, Ash Sharq, AR Ruwais District, Jeddah, Al Rawda, 23214, Jeddah, Saudi Arabia ",3.3,91
29946,OYO 342 Dar Taibah Furnished Units,"80 Street , Al Rabwa District, 21411, Yeda, Arabia Saudí",3.8,1288
29947,Hotel ibis Jeddah City Center,"P O Box 43356, Madinah Branch Road, Al Andalus, 23326, Jeddah, Saudi Arabia",4.5,7120
29948,OYO 355 Haifaa Furnished Units,"Al Rawabi District, Kilo 10, 21589, Jeddah, Saudi Arabia",2.5,2
29949,Adagio Jeddah City Center,Madinah Branch Road Al Andalus 23326 JEDDAH SAUDI ARABIA,4.7,1288
29950,Jeddah Oasis Hotel,"Al Amir Fawwaz Al Junoobi District, 22431 Yeda, Arabia Saudí",4.0,1455
29951,Seasons Park Hotel,"4716, 23544 Yeda, Arabia Saudí ",4.4,875
29952,Mila Hotel,"Al Hamdania District, Omar Bin Abi Waqqas Street, 23761, Jeddah, Saudi Arabia",3.7,144
29953,Swiss Blue 2,"Al Samer alwehee, 88802, Jeddah, Saudi Arabia",4.0,903
29954,Elite Suites Al Hamra,"Al Jazirah, Al Ruwais District Elite Suites Al Hamra - Al Jazeera Street - Beside Mera Hotel , building number 179, 21442 Yeda, Arabia Saudí",4.2,345
29955,Areen Palace Hotel - Almadina Road,"Al lbasateen Ismail IBn Kathir street, 21442 Jeddah, Saudi Arabia",3.6,1120
29956,Ruve Jeddah Hotel,"Prince Mohamed Bin Abdul Aziz Road, Al Azizia District, 21411 Djeddah, Arabie saoudite ",4.0,1575
29957,Mora Hotel,"Al Hamra, 11432 Yeda, Arabia Saudí",3.8,1721
29958,Mirada purple,"6621 Al Lujayn, 22324 Yeda, Arabia Saudí",3.8,612
29959,Park Inn by Radisson Jeddah Madinah Road,"Mohammad Al Hout, Al Muhammadiyah District, Jeddah, 8654, Saudi Arabia",4.6,3648
29960,Andalus Habitat Hotel,"3279 Mohamed Bin Abdulazziz Saudi Arabia 11, Al Andalus, 23325, Jeddah, Saudi Arabia ",4.0,835
29961,Shada Hotel Shatea,"7633 Hira Street, Ash Shati District, 3215, Jeddah (JED), 23513, Saudi Arabia",4.5,1538
29962,OYO 524 Zahrat Alwaziriya Furnished Apartments,"6832, Near Al Jazeera Kitchen, Jeddah, 22347, Saudi Arabia",3.0,4
29963,Jeddah Blue Hotel,"Alexandria street, Al Hamra District, Al Hamra, 21572, Jeddah, Saudi Arabia ",4.6,6837
29964,Red Avenue,"رع بحر العرب ٢٩٩٨ بحر العرب, Al Hamra, 23212 Jeddah, Saudi Arabia",4.2,7445
29965,OLA Saryet Al Hamra Hotel Apartments,"Al Hamra'a District, 21442 Jeddah, Arab Saudi",3.4,649
29966,Saheel Hotel Jeddah,"Al Hamra District, Khalij Alqamar Street, Al Hamra, 23212, Jeddah, Saudi Arabia",4.5,22555
29967,Aquila Hotel,"Muhyi Ad Din An Nadhir, 23212, Jeddah, Saudi Arabia",4.1,1208
29968,La fontaine Opal,"Saqr Quraish, Al Salamah, 23436 Yeda, Arabia Saudí",4.0,348
29969,Donatello Hotel,"Alharameen Road, Alrahmanyia Alharameen Road, Alrahmanyia, 23642, Jeddah, Saudi Arabia",4.3,2154
29970,Ewaa Express Hotel - Al Rawda,"Ar Rawdah, Jeddah 23432, Al Rawda, 00194 Yeda, Arabia Saudí",4.3,682
29971,Mirada Gold - Obhur,"Al Hasan Ibn Muslim P4VM+8R أبحر الجنوبية، جدة, South Obhr, 23733 Jeddah, Saudi Arabia",3.7,636
29973,JOUDYAN King Road Jeddah,"King Abdul Aziz Road PO Box 11193, Jeddah 21453 Saudi Arabia",4.3,446
29974,Taj alworood hotel	,"7612 Abdullah Sulaiman Street, Al – Woroud District, Jeddah 23222",4.0,1957
29975,Hotel Holiday Plus Al Marwa,"337 Abu Qatada Al Ansari Street, 11558, Jeddah, Saudi Arabia",3.9,351
29976,Holiday Plus - Al Nuzha	,"Fuad Shaker St, Al Nuzha, Jeddah 23532, Saudi Arabia, 23532, Jeddah , Makkah province , Saudi Arabia	",3.7,429
29977,Julanar Alsharq Suites,"Al Marawa District , 23545 Jeddah, Saudi Arabia",3.7,692
29978,Jeddah Downtown Hotel,"Zahrat Al Lutas, Al Hindaweya District, Jeddah, Saudi Arabia 7961, 22321 Yeda, Arabia Saudí –",4.5,22556
29979,Glamour Inn,"Quraish Street, Al Salamah, 23524, Jeddah, Saudi Arabia",3.7,147
29980,Al Rabitah Al Fondoqeiah Hotel Apartments,"Albawadi District , Sari Street, 23443 Yeda, Arabia Saudí ",3.7,100
29981,Hyatt Inn Suites,"Muhammad Abd Rida Street, As Salamah District, Al Salamah, 11441 Yeda, Arabia Saudí –",4.3,1857
29982,Dara Al Salam ,"Salama District 2, West of Madina Road, Al Salamah, 21511 Yeda, Arabia Saudí –",4.2,377
29983,Dara Hamra,"Ma'ady District, Hamra'a Street, Al Hamra, 21511 Yeda, Arabia Saudí –",4.4,1303
29984,Areen Al Naeem,"Muhammad Zaydan jeddah al naeem, 23526, Jeddah, Saudi Arabia",3.7,537
29985,Hawadah Hotel,"Hussain Basalamah, Al Hamra, 23212 Jeddah, Saudi Arabia ",3.7,1197
29986,Ozone Hotel,"Muhyi Ad Din An Nadhir, Al Hamra, 23212, Jeddah, Saudi Arabia",3.3,816
29987,Swiss EYE Hotel,"Hussien Basalama St., Al Hamra, 22241, Yeda, Arabia Saudí",3.7,769
29988,OYO 594 Taj Lamar Furnished Apartments,"Old Makkah Road, Al-Rawabi, Jeddah, Jeddah, Makkah province, Saudi Arabia",3.8,268
29989,Ebreez Hotel,"Al Hamra District, Husain Basalama Street, Al Hamra, 23212 Jeddah, Saudi Arabia",3.5,902
29990,Aster Hotel,"Bahr Al Arab Street, Al Hamra, Al Hamra, 23436 Jeddah, Saudi Arabia ",3.2,1894
29991,OYO 575 Massaya Hotel Apartments,"Street Al Andalus main road, Al Hamra District، Al Mailk As Salih, Jeddah, Makkah, 21313, Saudi Arabia",3.3,17
29992,Emerald Hotel,"Mushrifah District, 22232 Jeddah, Saudi Arabia",4.0,1100
29993,Areen Hotel,"Al Mohammadiyyah District , Prince Sultan Road , 23717 Jeddah, Saudi Arabia",3.6,1120
29994,OYO 582 Al Tamayoz Al Raqi Al Salamah,"6809 Ibn Nufay, As Salamah District, Jeddah, Al Salamah, 23436 Jeddah, Saudi Arabia",3.4,400
29995,OYO 585 Al Tamayoz Al Raqi Al Safa,"NA, Prince Mutaib bin Abdulaziz Road, Al-safa, Jeddah, 21411 Jeddah, Saudi Arabia",3.3,154
29996,Al Tamayoz Al Raqi Hira,"NA, Hira Street, Al Bawadi, Jeddah, 23531 Jeddah, Saudi Arabia",3.6,547
29997,OYO 588 Shoab Jeddah Suites,"Hira Street, Al Marwa District, Jeddah, 21452, Saudi Arabia",3.2,29
29998,OYO 589 Lavina House,"Al Basateen Dist. - Price Sultan St, 11450 Jeddah, Saudi Arabia",2.9,161
29999,OYO 597 Al Tamayoz Al Raqi,"Prince Mutaib bin Abdulaziz Road, 23235 Jeddah, Saudi Arabia",4.1,50
30000,Shangri-La Jeddah,"Burj Assila, Corniche Road, Ash Shati, Jeddah, 23611, Saudi Arabia",4.5,3074
30001,Tobal Al Hamra Hotel Apartments,"Toubal Al Hamra district - Al rewes area - Rokon Al deen Street. , 21211 Yeda, Arabia Saudí ",3.5,399
30002,Seasons Inn Jeddah,"Prince Sultan Road جدة طريق الامير سلطان الفرعى حى النعيم, 11421 Yeda, Arabia Saudí ",4.4,875
30003,Dayouf Jeddah,"jeddah, Jeddah, 2880, Arabia Saudí",4.6,8653
30004,Rawda Suites Hotel,"Bicycle Roundabout, Al Faisaliyah, Jeddah, 13412, Arabia Saudí",3.9,733
30005,Etlalet Ebhar Furnished Units,"42 Prince Sultan Road, close to Jarir Mall, 23618, Jeddah, Saudi Arabia ",4.3,12
30006,SHIRVAN Hotel City Yard Jeddah,"Abdul Maqsud Khojah, Al Rawda, 23435 Jeddah, Saudi Arabia",4.6,990
30007,Mirnian Hotel,"Palestine Street, Mishrifah, Jeddah 23341, Saudi Arabia, Jeddah , Makkah province , Saudi Arabia",3.9,956
30008,Ebreez Grand," 2678 Muhyi Ad Din An Nadhir, Al Hamra, 23212 Yeda, Arabia Saudí",3.5,902
30009,Areen Airport Hotel,"4432 Sultan Ibn Salman 4432-4471 sultan ibn salman,jeddah 23534, 23534 Jeddah, Saudi Arabia",3.8,1295
30010,Signature Hotel,"Sultan Ibn Salman building No.2589, 23532, Jeddah, Saudi Arabia ",4.1,657
30011,Blue Diamond Hotel Jeddah,"Al Bahar Al Arabi, Al Hamra, 23212 Yeda, Arabia Saudí ",4.4,546
30012,Qasr Al Balood Hotel Apartments 2,"Jeddah, Al Naeem Dst. , Jeddah, 21452, Saudi Arabia",3.8,116
30013,Qamar Hotel Jeddah,"Hira Street, 23522 Yeda, Arabia Saudí ",4.0,635
30014,OYO 344 Almibkhara Althahbia,"2890, Bar Al Arab Street, Al Hamra'a Dist, Jeddah, Al Hamra, 23212 Yeda, Arabia Saudí",3.4,242
30015,OYO 605 Tafwij Hotel,"7061, Jamilah Bin Saad Street, Al Bawadi, Jeddah, 23443 Yeda, Arabia Saudí ",4.1,54
30016,OYO 148 Diamond Beach Hotel,"2716 Hira, An Nahdah District, Jeddah, 23523, Makkah, Saudi Arabia",4.2,17
30017,OYO 607 Jeddah Palace Hotel,"Abdullah Sulayman Street 8938, 21422 Jeddah, Saudi Arabia",3.5,360
30018,Hoor Park,"Khalij Al Qamar 6833, Al Hamra, 23212 Yeda, Arabia Saudí",3.7,1327
30019,Hujra Hotel Tahlia Jeddah,"Prince Mohammed Bin Abdulaziz Street 3350, 23441, Jeddah, Saudi Arabia",4.1,686
