id,name,address,rating,review_count
466007,Islamabad Royal Inn,"Hamza Road House No.18A Main Double Hamza Road Opposite Standard Chartered Bank F 11 1 Near F 11 Markaz, , Islamabad, 46000, Pakistan",3.9,232
466010,Shelton's Rezidor Islamabad,"House No 3 Street No 30 F 7 1, , Islamabad, 44000, Pakistan",4.1,950
466013,Galaxy Guest House,"House No. 9 Street 45 F 7 1, , Islamabad, 44000, Pakistan",4.0,268
466014,Mudan Regency Guest House,"Street 37 E 11 4, , Islamabad, 46000, Pakistan",4.1,444
466018,Imperial House Islamabad,"House 1 Street 53 F 7 4 Islamabad, , Islamabad, 44000, Pakistan",4.1,190
466021,Ahmed Guest House,"Mall Road, , Murree, 47150, Pakistan",3.8,22
466023,Pakistan Explorer Bnb,"Sumbal Road F 10 4, , Islamabad, 44000, Pakistan",3.8,309
466026,Pine Top Guest House Islamabad,"Golden Heights, , Islamabad, 42000, Pakistan",4.0,0
466028,Rio Inn Guest House,"F 6 3 House#32 A Main Hill Road Super Market Near D.Watson Chemist F 6 Sector, , Islamabad, 44000, Pakistan",4.1,507
466031,Premer Hospitality,"House 3 Street 11 F 8 3 Opposite To Jazz Head Office, , Rawalpindi, 44000, Pakistan",3.7,550
466037,Inviting 1-bed Apartment in Islamabad,"Zaraj Housing Society, Talha Rd., , Islamabad, , Pakistan",4.2,270
466038,"1 Bedroom Apartment, Netflix, Bahria","faran plaza, 201,Civic Center Bahria Town Civic Center, , Islamabad, 75500, Pakistan",4.8,75
466039,Imperial Suites 2 Bedroom Apartment,"Zaraj Housing Society, Talha Rd., , Islamabad, , Pakistan",4.8,106
466040,Landmark Guest House,"62 A Nazim Ud Din Rd, , Islamabad, 44000, Pakistan",4.3,227
466041,Zaib Guest House E 11 Islamabad,"53 Street 5, , Islamabad, 44000, Pakistan",4.8,103
466096,Islamabad Palace Guest House,"House 22 Street 37 Sector G 6 2 Melody, , Islamabad, 44000, Pakistan",3.9,117
466097,Allied Guest House,"392 Street 89, , Islamabad, 44090, Pakistan",5.0,28
466100,Home Inn Guest House E 11 2,"House 257 Street 91 E 11 2, , Islamabad, 44000, Pakistan",4.6,10
466102,Pyramid International Guest House,"House No 72 St 32 F6 1, , Islamabad, 44000, Pakistan",3.4,151
466103,Elysium 99,"Street 55 A 2 F-6/4, , Islamabad, 44000, Pakistan",4.0,180
466105,Saint Rose Guest House,"132 Street 37 House 132-A, , Islamabad, 44000, Pakistan",4.4,152
466106,Stay Inn Guest House,"14 Street 52, , Islamabad, 43701, Pakistan",3.9,146
466107,AB Guest House,"Street 10, , Islamabad, 44000, Pakistan",3.7,161
466108,Freddy's Royal Family Apartments,"Main Margalla Road E 11 Islamabad, , Islamabad, 44000, Pakistan",5.0,1
466110,City Home Guest House,"House 1 Street 46 F 8 1 Islamabad, , Islamabad, 44000, Pakistan",0.0,0
466111,Imperial lodges Islamabad,"406 Ibn E Sina Road G 10 2, , Islamabad, 44000, Pakistan",4.6,159
466113,ReD Lagoon,"House#6 Street#487 Main Double Road G 13 1 Islamabad, , Islamabad, 44220, Pakistan",4.8,79
466116,Ortus Islamabad,"Zarkon Heights Block B G.T. Road G 15 4 G 15, , Islamabad, 44000, Pakistan",4.8,39
466123,Panorama Guest House,"748 Ibn E Sina Rd, , Islamabad, 44000, Pakistan",4.8,114
466124,Step Inn Guest House Islamabad,"House No.390 St.# 26 E11 4 Islamabad Rawalpindi Islamabad Capital Territory E 11 Sector, , Islamabad, 44000, Pakistan",4.5,195
466125,Casa Blanca Boutique Guest House,"A Main Kaghan Rd, , Islamabad, 44000, Pakistan",3.7,47
466127,De Shalimar Guest House,"House No 241 Street No 62 E 11 3, , Islamabad, 44000, Pakistan",4.1,1792
466128,Holyzen Guest House Islamabad,"House 13 Street 150 G 13 4, , Islamabad, 44000, Pakistan",4.9,13
466129,City Home Guest House F7,"Bhittai Road F 7 1 Islamabad 1-A, , Islamabad, 44000, Pakistan",4.3,780
466130,Margalla Hills Residency Islamabad,"170 A Street 70 Mpchs E 11 3, , Islamabad, 44000, Pakistan",4.8,1934
466131,Cosmos Guest House Islamabad,"06 Street 34, , Islamabad, 44000, Pakistan",3.9,69
466132,Lux Lounge Guest House,"Street 36 House # 57 F 6 1, , Islamabad, 44000, Pakistan",4.1,102
466133,Harvey's Apartment,"Capital Apartment Hill Rd Pmchs E 11 2, , Islamabad, 46000, Pakistan",3.5,2
466134,Welcome Inn Guest House,"House 65 Street 56 G 9 4, , Islamabad, 44000, Pakistan",4.3,164
466135,Milton Guest House,"House No 10 A Street 34 F 6 1, , Islamabad, 44000, Pakistan",4.2,97
466136,White Rose Guest House,"55 House No # 25 G 9 Sector, , Islamabad, 44000, Pakistan",3.8,6
466137,Partridge inn Guest House,"Street Number 49 6, , Islamabad, 44000, Pakistan",3.6,34
466139,Modern Guest House,"36 Iqbal Avenue, , Islamabad, 44030, Pakistan",4.5,102
466141,Durrani House,"Flat 3 Block 22C Pha Ctype G11 3 Main IBNE SEENA ROAD GATE, 4, G 11/3 G-11, , Islamabad, 44000, Pakistan",4.5,276
466142,Aleph Islamabad Guest House,"House 28 Street 26, , Islamabad, 44000, Pakistan",4.4,204
466143,The Mall Luxury Guest House,"Peshawar Mor Interchange, , Islamabad, 44090, Pakistan",4.6,105
466144,Casa Blanca Haven,"House No 36 Street No 18 F 7 2, , Islamabad, 44000, Pakistan",4.4,82
466145,Lavish Guest House G 8,"House No 305 Street No 5 G 8 Markaz, , Islamabad, 44000, Pakistan",4.7,3
466146,Thai Dee Guest House Islamabad,"55 St 93 G 13 1 G 13 1 G 13, , Islamabad, 4404, Pakistan",4.9,788
466151,Crown Apartment E11,"Crown Apartment E11 2 2nd Floor, Flat 203, , Islamabad, 45600, Pakistan",4.5,70
466153,Beautiful 3 bed Apartment in Islamabad,"946 Central Avenue, , Islamabad, 46620, Pakistan",4.9,106
466156,AK Guest House,"Street 687 House no 26-B, , Islamabad, 44000, Pakistan",4.9,260
466157,Luxury Moon Guest House,"34 Street 13 F 7 2 F 7 2 F 7 Islamabad House no 13, , Islamabad, 44000, Pakistan",4.7,1026
466159,Green Hilton Guest House Islamabad,"Plot 47 Main Road No. 2, , Islamabad, 45000, Pakistan",2.7,3
466160,Harveys Guest House,"House 99 Street 06 Pmchs E 11 2, , Islamabad, 46000, Pakistan",4.4,16
466162,Divine Hotel,"Sector A Boulevard Janna East Dha Phase 2 I DHA Phase 2, Rawalpindi 44000, Rawalpindi, 44000, Pakistan",4.1,803
